,edge,edge_text,variables,variables_text
47,((to/Mi/en push/P.sor.-i-----/en) russia/Cp.s/en syria/Cp.s/en ((to/Mi/en surrender/P.o.-i-----/en) (chemical/Ma/en weapons/Cc.p/en))),Russia to push Syria to surrender chemical weapons,"[{'PRED': [['to/Mi/en'], ['push/P.sor.-i-----/en']], 'SOURCE': ['russia/Cp.s/en'], 'TARGET': ['syria/Cp.s/en']}]","[{'PRED': 'to push', 'SOURCE': 'Russia', 'TARGET': 'Syria'}]"
48,((to/Mi/en push/Pd.sor.-i-----/en) pakistan/Cp.s/en un/Cp.s/en ((to/Mi/en declare/P.o.-i-----/en) (indian/Ma/en (+/B.am/. ocean/Cm/en ((nuclear/M/en free/Ma/en) zone/Cc.s/en))))),Pakistan to push UN to declare Indian Ocean nuclear-free zone,"[{'PRED': [['to/Mi/en'], ['push/Pd.sor.-i-----/en']], 'SOURCE': ['pakistan/Cp.s/en'], 'TARGET': ['un/Cp.s/en']}]","[{'PRED': 'to push', 'SOURCE': 'Pakistan', 'TARGET': 'UN'}]"
49,((to/Mi/en push/Pd.sor.-i-----/en) russia/Cp.s/en syria/Cp.s/en ((to/Mi/en put/P.ox.-i-----/en) (+/B.am/. chemical/Cp.s/en weapons/Cp.p/en) (under/T/en (+/B.am/. international/Cp.s/en control/Cp.s/en)))),Russia To Push Syria To Put Chemical Weapons Under International Control,"[{'PRED': [['to/Mi/en'], ['push/Pd.sor.-i-----/en']], 'SOURCE': ['russia/Cp.s/en'], 'TARGET': ['syria/Cp.s/en']}]","[{'PRED': 'to push', 'SOURCE': 'Russia', 'TARGET': 'Syria'}]"
50,((to/Mi/en push/Pd.sor.-i-----/en) russia/Cp.s/en syria/Cp.s/en ((to/Mi/en surrender/P.o.-i-----/en) (chemical/M/en weapons/Cc.p/en))),Russia to push Syria to surrender chemical weapons,"[{'PRED': [['to/Mi/en'], ['push/Pd.sor.-i-----/en']], 'SOURCE': ['russia/Cp.s/en'], 'TARGET': ['syria/Cp.s/en']}]","[{'PRED': 'to push', 'SOURCE': 'Russia', 'TARGET': 'Syria'}]"
51,((to/Mi/en renounce/Pd.so.-i-----/en) israel/Cp.s/en nukes/Cc.p/en),Israel to renounce nukes,"[{'PRED': [['to/Mi/en'], ['renounce/Pd.so.-i-----/en']], 'SOURCE': ['israel/Cp.s/en'], 'TARGET': ['nukes/Cc.p/en']}]","[{'PRED': 'to renounce', 'SOURCE': 'Israel', 'TARGET': 'Nukes'}]"
52,((to/Mi/en sue/P.soo.-i-----/en) russia/Cp.s/en ukraine/Cp.s/en ((over/M/en ($/M/en (3/M#/en billion/M#/en))) (+/B.am/. debt/Cc.s/en default/Cc.s/en))),Russia to sue Ukraine over $3 billion debt default,"[{'PRED': [['to/Mi/en'], ['sue/P.soo.-i-----/en']], 'SOURCE': ['russia/Cp.s/en'], 'TARGET': ['ukraine/Cp.s/en']}]","[{'PRED': 'to sue', 'SOURCE': 'Russia', 'TARGET': 'Ukraine'}]"
53,((to/Mi/en sue/Pd.sox.-i-----/en) iraq/Cp.s/en israel/Cp.s/en (for/Tt/en (destroying/P.ox.|pg----/en (nuclear/Ma/en reactor/Cc.s/en) (in/Tt/en 1981/C#/en)))),Iraq to sue Israel for destroying nuclear reactor in 1981,"[{'PRED': [['to/Mi/en'], ['sue/Pd.sox.-i-----/en']], 'SOURCE': ['iraq/Cp.s/en'], 'TARGET': ['israel/Cp.s/en'], 'TOPIC': [['destroying/P.ox.|pg----/en'], [['nuclear/Ma/en'], ['reactor/Cc.s/en']], [['in/Tt/en'], ['1981/C#/en']]]}]","[{'PRED': 'to sue', 'SOURCE': 'Iraq', 'TARGET': 'Israel', 'TOPIC': 'destroying nuclear reactor in 1981'}]"
54,((to/Mi/en sue/Pd.soxo.-i-----/en) russia/Cp.s/en ukraine/Cp.s/en (if/Tt/en ((is/Mv.|f--3s-/en (not/Mn/en repaid/Pd.px.<pf----/en)) debt/Cc.s/en (by/Tt/en (20/M#/en december/Cp.s/en)))) (’s/Bp.am/en russia/Cp.s/en (+/B.am/. finance/Cc.s/en ministry/Cc.s/en))),Russia to sue Ukraine if debt is not repaid by December 20 — Russia ’s finance ministry,"[{'PRED': [['to/Mi/en'], ['sue/Pd.soxo.-i-----/en']], 'SOURCE': ['russia/Cp.s/en'], 'TARGET': ['ukraine/Cp.s/en'], 'TOPIC': [[['is/Mv.|f--3s-/en'], [['not/Mn/en'], ['repaid/Pd.px.<pf----/en']]], ['debt/Cc.s/en'], [['by/Tt/en'], [['20/M#/en'], ['december/Cp.s/en']]]]}]","[{'PRED': 'to sue', 'SOURCE': 'Russia', 'TARGET': 'Ukraine', 'TOPIC': 'debt is not repaid by December 20'}]"
55,((to/Mi/en tell/P.so.-i-----/en) africans/Cp.p/en icc/Cp.s/en),Africans to tell ICC,"[{'PRED': [['to/Mi/en'], ['tell/P.so.-i-----/en']], 'SOURCE': ['africans/Cp.p/en'], 'TARGET': ['icc/Cp.s/en']}]","[{'PRED': 'to tell', 'SOURCE': 'Africans', 'TARGET': 'ICC'}]"
56,((too/M/en speak/Pd.so.|f-----/en) i/Ci/en russian/Cp.s/en),"I Speak Russian, Too","[{'PRED': [['too/M/en'], ['speak/Pd.so.|f-----/en']], 'SOURCE': ['i/Ci/en'], 'TARGET': ['russian/Cp.s/en']}]","[{'PRED': 'Speak Too', 'SOURCE': 'I', 'TARGET': 'Russian'}]"
57,((will/Mm/en (not/Mn/en fight/Pd.soo.-i-----/en)) philippines/Cp.s/en china/Cp.s/en aquino/Cp.s/en),Philippines will not fight China – Aquino,"[{'PRED': [['will/Mm/en'], [['not/Mn/en'], ['fight/Pd.soo.-i-----/en']]], 'SOURCE': ['philippines/Cp.s/en'], 'TARGET': ['china/Cp.s/en']}]","[{'PRED': 'will not fight', 'SOURCE': 'Philippines', 'TARGET': 'China'}]"
58,((will/Mm/en (not/Mn/en invade/P.so.-i-----/en)) russia/Cp.s/en ukraine/Cp.s/en),Russia will not invade Ukraine,"[{'PRED': [['will/Mm/en'], [['not/Mn/en'], ['invade/P.so.-i-----/en']]], 'SOURCE': ['russia/Cp.s/en'], 'TARGET': ['ukraine/Cp.s/en']}]","[{'PRED': 'will not invade', 'SOURCE': 'Russia', 'TARGET': 'Ukraine'}]"
59,((will/Mm/en attack/P.sox.-i-----/en) israel/Cp.s/en iran/Cp.s/en (if/T/en (sign/Pd.so.|f-----/en you/Ci/en (the/Md/en deal/Cc.s/en)))),Israel will attack Iran if you sign the deal,"[{'PRED': [['will/Mm/en'], ['attack/P.sox.-i-----/en']], 'SOURCE': ['israel/Cp.s/en'], 'TARGET': ['iran/Cp.s/en'], 'TOPIC': [['sign/Pd.so.|f-----/en'], ['you/Ci/en'], [['the/Md/en'], ['deal/Cc.s/en']]]}]","[{'PRED': 'Will Attack', 'SOURCE': 'Israel', 'TARGET': 'Iran', 'TOPIC': 'you sign the deal'}]"
60,((will/Mm/en attack/Pd.sox.-i-----/en) hezbollah/Cp.s/en israel/Cp.s/en (if/T/en (aims/Pd.sr.|f--3s-/en strike/Cc.s/en ((to/Mi/en topple/P.o.-i-----/en) assad/Cp.s/en)))),Hezbollah will attack Israel if strike aims to topple Assad,"[{'PRED': [['will/Mm/en'], ['attack/Pd.sox.-i-----/en']], 'SOURCE': ['hezbollah/Cp.s/en'], 'TARGET': ['israel/Cp.s/en'], 'TOPIC': [['aims/Pd.sr.|f--3s-/en'], ['strike/Cc.s/en'], [[['to/Mi/en'], ['topple/P.o.-i-----/en']], ['assad/Cp.s/en']]]}]","[{'PRED': 'Will Attack', 'SOURCE': 'Hezbollah', 'TARGET': 'Israel', 'TOPIC': 'strike aims to topple Assad'}]"
61,((will/Mm/en destroy/P.so.-i-----/en) muslims/Cp.p/en israel/Cp.s/en),Muslims Will Destroy Israel,"[{'PRED': [['will/Mm/en'], ['destroy/P.so.-i-----/en']], 'SOURCE': ['muslims/Cp.p/en'], 'TARGET': ['israel/Cp.s/en']}]","[{'PRED': 'Will Destroy', 'SOURCE': 'Muslims', 'TARGET': 'Israel'}]"
62,((will/Mm/en leave/Pd.so.-i-----/en) scotland/Cp.s/en eu/Cp.s/en),Scotland will leave EU,"[{'PRED': [['will/Mm/en'], ['leave/Pd.so.-i-----/en']], 'SOURCE': ['scotland/Cp.s/en'], 'TARGET': ['eu/Cp.s/en']}]","[{'PRED': 'will leave', 'SOURCE': 'Scotland', 'TARGET': 'EU'}]"
63,((will/Mm/en leave/Pd.ssox.-i-----/en) rbs/Cp.s/en lloyds/Cp.s/en scotland/Cp.s/en (if/T/en (votes/Pd.sx.|f--3s-/en it/Ci/en (for/T/en independence/Cc.s/en)))),"RBS, Lloyds will leave Scotland if it votes for independence","[{'PRED': [['will/Mm/en'], ['leave/Pd.ssox.-i-----/en']], 'SOURCE': ['rbs/Cp.s/en'], 'TARGET': ['scotland/Cp.s/en'], 'TOPIC': [['votes/Pd.sx.|f--3s-/en'], ['it/Ci/en'], [['for/T/en'], ['independence/Cc.s/en']]]}]","[{'PRED': 'will leave', 'SOURCE': 'RBS', 'TARGET': 'Scotland', 'TOPIC': 'it votes for independence'}]"
64,((will/Mm/en push/P.sor.-i-----/en) moscow/Cp.s/en syria/Cp.s/en ((to/Mi/en place/P.ox.-i-----/en) (its/Mp/en (chemical/Ma/en weapons/Cc.p/en)) (under/T/en (international/Ma/en control/Cc.s/en)))),Moscow will push Syria to place its chemical weapons under international control,"[{'PRED': [['will/Mm/en'], ['push/P.sor.-i-----/en']], 'SOURCE': ['moscow/Cp.s/en'], 'TARGET': ['syria/Cp.s/en']}]","[{'PRED': 'will push', 'SOURCE': 'Moscow', 'TARGET': 'Syria'}]"
65,((wo/Mm/en (n’t/Mn/en attack/P.sox.-i-----/en)) france/Cp.s/en syria/Cp.s/en (if/T/en ((n’t/Mn/en does/Pd.s.|f--3s-/en) u%2es%2e/Cp.s/en))),France won’t attack Syria if U.S. doesn’t,"[{'PRED': [['wo/Mm/en'], [['n’t/Mn/en'], ['attack/P.sox.-i-----/en']]], 'SOURCE': ['france/Cp.s/en'], 'TARGET': ['syria/Cp.s/en'], 'TOPIC': [[['n’t/Mn/en'], ['does/Pd.s.|f--3s-/en']], ['u%2es%2e/Cp.s/en']]}]","[{'PRED': 'won’t attack', 'SOURCE': 'France', 'TARGET': 'Syria', 'TOPIC': 'U.S. doesn’t'}]"
66,((wrongly/M/en blames/Pd.sox.|f--3s-/en) obama/Cp.s/en russia/Cp.s/en (for/Tt/en (trying/P.r.|pg----/en ((to/Mi/en reclaim/P.o?.-i-----/en) lands/Cc.p/en (lost/P.x.<pf----/en (in/Tt/en (19th/Ma/en century/Cc.s/en))))))),Obama wrongly blames Russia for ‘trying to reclaim lands lost in 19th century,"[{'PRED': [['wrongly/M/en'], ['blames/Pd.sox.|f--3s-/en']], 'SOURCE': ['obama/Cp.s/en'], 'TARGET': ['russia/Cp.s/en'], 'TOPIC': [['trying/P.r.|pg----/en'], [[['to/Mi/en'], ['reclaim/P.o?.-i-----/en']], ['lands/Cc.p/en'], [['lost/P.x.<pf----/en'], [['in/Tt/en'], [['19th/Ma/en'], ['century/Cc.s/en']]]]]]}]","[{'PRED': 'wrongly blames', 'SOURCE': 'Obama', 'TARGET': 'Russia', 'TOPIC': 'trying to reclaim lands lost in 19th century'}]"
67,(accused/P.sor.<f-----/en india/Cp.s/en pakistan/Cp.s/en ((only/M/en (to/Mi/en defame/P.o.-i-----/en)) it/Ci/en)),India accused Pakistan only to defame it,"[{'PRED': ['accused/P.sor.<f-----/en'], 'SOURCE': ['india/Cp.s/en'], 'TARGET': ['pakistan/Cp.s/en']}]","[{'PRED': 'accused', 'SOURCE': 'India', 'TARGET': 'Pakistan'}]"
68,(accuses/Pd.so.|f--3s-/en abbas/Cp.s/en israel/Cp.s/en),Abbas accuses Israel,"[{'PRED': ['accuses/Pd.so.|f--3s-/en'], 'SOURCE': ['abbas/Cp.s/en'], 'TARGET': ['israel/Cp.s/en']}]","[{'PRED': 'accuses', 'SOURCE': 'Abbas', 'TARGET': 'Israel'}]"
69,(accuses/Pd.so.|f--3s-/en beijing/Cp.s/en tokyo/Cp.s/en),Beijing accuses Tokyo,"[{'PRED': ['accuses/Pd.so.|f--3s-/en'], 'SOURCE': ['beijing/Cp.s/en'], 'TARGET': ['tokyo/Cp.s/en']}]","[{'PRED': 'accuses', 'SOURCE': 'Beijing', 'TARGET': 'Tokyo'}]"
70,(accuses/Pd.so.|f--3s-/en isis/Cp.s/en canada/Cp.s/en),ISIS accuses Canada,"[{'PRED': ['accuses/Pd.so.|f--3s-/en'], 'SOURCE': ['isis/Cp.s/en'], 'TARGET': ['canada/Cp.s/en']}]","[{'PRED': 'accuses', 'SOURCE': 'ISIS', 'TARGET': 'Canada'}]"
71,(accuses/Pd.so.|f--3s-/en pakistan/Cp.s/en india/Cp.s/en),Pakistan accuses India,"[{'PRED': ['accuses/Pd.so.|f--3s-/en'], 'SOURCE': ['pakistan/Cp.s/en'], 'TARGET': ['india/Cp.s/en']}]","[{'PRED': 'accuses', 'SOURCE': 'Pakistan', 'TARGET': 'India'}]"
72,(accuses/Pd.so.|f--3s-/en syria/Cp.s/en kerry/Cp.s/en),Syria accuses Kerry,"[{'PRED': ['accuses/Pd.so.|f--3s-/en'], 'SOURCE': ['syria/Cp.s/en'], 'TARGET': ['kerry/Cp.s/en']}]","[{'PRED': 'accuses', 'SOURCE': 'Syria', 'TARGET': 'Kerry'}]"
73,(accuses/Pd.so.|f--3s-/en vietnam/Cp.s/en china/Cp.s/en),Vietnam accuses China,"[{'PRED': ['accuses/Pd.so.|f--3s-/en'], 'SOURCE': ['vietnam/Cp.s/en'], 'TARGET': ['china/Cp.s/en']}]","[{'PRED': 'accuses', 'SOURCE': 'Vietnam', 'TARGET': 'China'}]"
74,"(accuses/Pd.soo.|f--3s-/en russia/Cp.s/en (of/Br.ma/en west/Cp.s/en (over/Br.ma/en (+/B.am/. new/Cp.s/en (+/B.am/. cold/Cp.s/en war/Cp.s/en)) (,/Mj/en syria/Cp.s/en))) ukraine/Cp.s/en)","Russia Accuses West of 'New Cold War' over Syria, Ukraine","[{'PRED': ['accuses/Pd.soo.|f--3s-/en'], 'SOURCE': ['russia/Cp.s/en'], 'TARGET': ['ukraine/Cp.s/en']}]","[{'PRED': 'accuses', 'SOURCE': 'Russia', 'TARGET': 'Ukraine'}]"
75,(accuses/Pd.sor.|f--3s-/en obama/Cp.s/en iran/Cp.s/en (deal/P.o.-i-----/en (of/Jr.ma/en opponents/Cc.p/en (luring/P.ox.|pg----/en congress/Cp.s/en (toward/T/en (+/B.am/. (+/B.am/. middle/Cp.s/en east/Cp.s/en) war/Cc.s/en)))))),Obama accuses Iran deal opponents of luring Congress toward Middle East war,"[{'PRED': ['accuses/Pd.sor.|f--3s-/en'], 'SOURCE': ['obama/Cp.s/en'], 'TARGET': ['iran/Cp.s/en']}]","[{'PRED': 'accuses', 'SOURCE': 'Obama', 'TARGET': 'Iran'}]"
76,(accuses/Pd.soxx.|f--3s-/en britain/Cp.s/en spain/Cp.s/en (of/T/en (violating/P.o.|pg----/en (+/B.am/. gibraltar/Cp.s/en sovereignty/Cc.s/en))) (after/T/en (chase/Pd.s.|f-----/en drugs/Cc.p/en))),Britain accuses Spain of violating Gibraltar sovereignty after drugs chase,"[{'PRED': ['accuses/Pd.soxx.|f--3s-/en'], 'SOURCE': ['britain/Cp.s/en'], 'TARGET': ['spain/Cp.s/en'], 'TOPIC': [['chase/Pd.s.|f-----/en'], ['drugs/Cc.p/en']]}]","[{'PRED': 'accuses', 'SOURCE': 'Britain', 'TARGET': 'Spain', 'TOPIC': 'drugs chase'}]"
77,(accuses/Pd.soxx.|f--3s-/en china/Cp.s/en india/Cp.s/en (of/T/en (political/Ma/en gains/Cc.p/en)) (in/T/en (seeking/P.r.|pg----/en ((to/Mi/en ban/P.o.-i-----/en) (+/B.am/. ((pak/Ma/en based/Mv.<pf----/en) terrorist/Cc.s/en) (+/B.am/. masood/Cp.s/en azhar/Cp.s/en)))))),China accuses India of 'political gains' in seeking to ban Pak-based terrorist Masood Azhar,"[{'PRED': ['accuses/Pd.soxx.|f--3s-/en'], 'SOURCE': ['china/Cp.s/en'], 'TARGET': ['india/Cp.s/en'], 'TOPIC': [['seeking/P.r.|pg----/en'], [[['to/Mi/en'], ['ban/P.o.-i-----/en']], [['+/B.am/.'], [[['pak/Ma/en'], ['based/Mv.<pf----/en']], ['terrorist/Cc.s/en']], [['+/B.am/.'], ['masood/Cp.s/en'], ['azhar/Cp.s/en']]]]]}]","[{'PRED': 'accuses', 'SOURCE': 'China', 'TARGET': 'India', 'TOPIC': 'seeking to ban Pak-based terrorist Masood Azhar'}]"
78,(accuses/Pd.soxx.|f--3s-/en germany/Cp.s/en russia/Cp.s/en (of/T/en (on/Br.ma/en (cyber/Ma/en attack/Cc.s/en) (ukraine/Ma/en (+/B.am/. peace/Cc.s/en monitors/Cc.p/en)))) (as/T/en (dismisses/Pd.sox.|f--3s-/en kremlin/Cp.s/en (+/B.am/. (+/B.am/. us/Cp.s/en intelligence/Cc.s/en) claims/Cc.p/en) (as/T/en (a/Md/en (+/B.am/. witch/Cc.s/en hunt/Cc.s/en)))))),"Germany accuses Russia of cyber attack on Ukraine peace monitors, as Kremlin dismisses US intelligence claims as a witch hunt","[{'PRED': ['accuses/Pd.soxx.|f--3s-/en'], 'SOURCE': ['germany/Cp.s/en'], 'TARGET': ['russia/Cp.s/en'], 'TOPIC': [['dismisses/Pd.sox.|f--3s-/en'], ['kremlin/Cp.s/en'], [['+/B.am/.'], [['+/B.am/.'], ['us/Cp.s/en'], ['intelligence/Cc.s/en']], ['claims/Cc.p/en']], [['as/T/en'], [['a/Md/en'], [['+/B.am/.'], ['witch/Cc.s/en'], ['hunt/Cc.s/en']]]]]}]","[{'PRED': 'accuses', 'SOURCE': 'Germany', 'TARGET': 'Russia', 'TOPIC': 'Kremlin dismisses US intelligence claims as a witch hunt'}]"
79,(accuses/Pd.soxx.|f--3s-/en nepal/Cp.s/en india/Cp.s/en (of/T/en (an/Md/en (economic/Ma/en blockade/Cc.s/en))) (as/T/en ((up/Ml/en freezes/Pd.s.|f--3s-/en) (+/B.am/. border/Cc.s/en trade/Cc.s/en)))),Nepal accuses India of an economic blockade as border trade freezes up,"[{'PRED': ['accuses/Pd.soxx.|f--3s-/en'], 'SOURCE': ['nepal/Cp.s/en'], 'TARGET': ['india/Cp.s/en'], 'TOPIC': [[['up/Ml/en'], ['freezes/Pd.s.|f--3s-/en']], [['+/B.am/.'], ['border/Cc.s/en'], ['trade/Cc.s/en']]]}]","[{'PRED': 'accuses', 'SOURCE': 'Nepal', 'TARGET': 'India', 'TOPIC': 'border trade freezes up'}]"
80,(accuses/Pd.soxx.|f--3s-/en obama/Cp.s/en eu/Cp.s/en (of/T/en (attacking/P.o.|pg----/en (american/Ma/en (+/B.am/. tech/Cc.s/en companies/Cc.p/en)))) (because/T/en (('/Mv.|f-----/en (ca/Mm/en (n't/Mn/en compete/Pd.s.-i-----/en))) it/Ci/en))),Obama accuses EU of attacking American tech companies because it 'ca n't compete,"[{'PRED': ['accuses/Pd.soxx.|f--3s-/en'], 'SOURCE': ['obama/Cp.s/en'], 'TARGET': ['eu/Cp.s/en'], 'TOPIC': [[[""'/Mv.|f-----/en""], [['ca/Mm/en'], [[""n't/Mn/en""], ['compete/Pd.s.-i-----/en']]]], ['it/Ci/en']]}]","[{'PRED': 'accuses', 'SOURCE': 'Obama', 'TARGET': 'EU', 'TOPIC': ""it 'ca n't compete""}]"
81,(accuses/Pd.soxx.|f--3s-/en qatar/Cp.s/en uae/Cp.s/en (of/Tt/en (supporting/P.o.|pg----/en (in/Br.ma/en (9%2f11/M#/en attacks/Cc.p/en) (+/B.am/. new/Cp.s/en york/Cp.s/en)))) (as/T/en (deepens/Pd.s.|f--3s-/en (+/B.am/. gulf/Cp.s/en crisis/Cc.s/en)))),Qatar accuses UAE of supporting 9/11 attacks in New York as Gulf crisis deepens,"[{'PRED': ['accuses/Pd.soxx.|f--3s-/en'], 'SOURCE': ['qatar/Cp.s/en'], 'TARGET': ['uae/Cp.s/en'], 'TOPIC': [['deepens/Pd.s.|f--3s-/en'], [['+/B.am/.'], ['gulf/Cp.s/en'], ['crisis/Cc.s/en']]]}]","[{'PRED': 'accuses', 'SOURCE': 'Qatar', 'TARGET': 'UAE', 'TOPIC': 'Gulf crisis deepens'}]"
82,(accuses/Pd.soxx.|f--3s-/en ukraine/Cp.s/en russia/Cp.s/en (of/T/en (armed/Ma/en invasion/Cc.s/en)) (after/T/en (blockaded/Pd.s.<f-----/en (+/B.am/. crimea/Cp.s/en airports/Cc.p/en)))),Ukraine accuses Russia of 'armed invasion' after Crimea airports blockaded,"[{'PRED': ['accuses/Pd.soxx.|f--3s-/en'], 'SOURCE': ['ukraine/Cp.s/en'], 'TARGET': ['russia/Cp.s/en'], 'TOPIC': [['blockaded/Pd.s.<f-----/en'], [['+/B.am/.'], ['crimea/Cp.s/en'], ['airports/Cc.p/en']]]}]","[{'PRED': 'accuses', 'SOURCE': 'Ukraine', 'TARGET': 'Russia', 'TOPIC': 'Crimea airports blockaded'}]"
83,(accuses/Pd.soxx.|f--3s-/en ukraine/Cp.s/en russia/Cp.s/en (of/T/en (direct/Ma/en invasion/Cc.s/en)) (as/T/en (crosses/Pd.so.|f--3s-/en (+/B.am/. aid/Cc.s/en convoy/Cc.s/en) border/Cc.s/en))),"Ukraine accuses Russia of ""direct invasion"" as aid convoy crosses border","[{'PRED': ['accuses/Pd.soxx.|f--3s-/en'], 'SOURCE': ['ukraine/Cp.s/en'], 'TARGET': ['russia/Cp.s/en'], 'TOPIC': [['crosses/Pd.so.|f--3s-/en'], [['+/B.am/.'], ['aid/Cc.s/en'], ['convoy/Cc.s/en']], ['border/Cc.s/en']]}]","[{'PRED': 'accuses', 'SOURCE': 'Ukraine', 'TARGET': 'Russia', 'TOPIC': 'aid convoy crosses border'}]"
84,(accuses/Pd.soxx.|f--3s-/en ukraine/Cp.s/en russia/Cp.s/en (of/T/en (on/Br.ma/en (+/B.am/. artillery/Cc.s/en attack/Cc.s/en) (its/Mp/en navy/Cc.s/en))) (as/T/en (says/Pd.sor.|f--3s-/en ('s/Bp.am/en moscow/Cp.s/en (foreign/Ma/en minister/Cc.s/en)) (needed/P.o.<pf----/en (immediate/Ma/en ceasefire/Cc.s/en)) ((would/Mm/en consolidate/P.so.-i-----/en) which/C/en (+/B.am/. kremlin/Cp.s/en gains/Cc.p/en))))),Ukraine accuses Russia of artillery attack on its navy as Moscow's foreign minister says 'immediate ceasefire needed' – which would consolidate Kremlin gains,"[{'PRED': ['accuses/Pd.soxx.|f--3s-/en'], 'SOURCE': ['ukraine/Cp.s/en'], 'TARGET': ['russia/Cp.s/en'], 'TOPIC': [['says/Pd.sor.|f--3s-/en'], [[""'s/Bp.am/en""], ['moscow/Cp.s/en'], [['foreign/Ma/en'], ['minister/Cc.s/en']]], [['needed/P.o.<pf----/en'], [['immediate/Ma/en'], ['ceasefire/Cc.s/en']]], [[['would/Mm/en'], ['consolidate/P.so.-i-----/en']], ['which/C/en'], [['+/B.am/.'], ['kremlin/Cp.s/en'], ['gains/Cc.p/en']]]]}]","[{'PRED': 'accuses', 'SOURCE': 'Ukraine', 'TARGET': 'Russia', 'TOPIC': ""Moscow's foreign minister says 'immediate ceasefire needed' – which would consolidate Kremlin gains""}]"
85,(accuses/Pd.soxx.|f--3s-/en ukraine/Cp.s/en russia/Cp.s/en (of/T/en (open/Ma/en aggression/Cc.s/en)) (as/T/en (advance/Pd.s.|f-----/en rebels/Cc.p/en))),Ukraine accuses Russia of 'open aggression' as rebels advance,"[{'PRED': ['accuses/Pd.soxx.|f--3s-/en'], 'SOURCE': ['ukraine/Cp.s/en'], 'TARGET': ['russia/Cp.s/en'], 'TOPIC': [['advance/Pd.s.|f-----/en'], ['rebels/Cc.p/en']]}]","[{'PRED': 'accuses', 'SOURCE': 'Ukraine', 'TARGET': 'Russia', 'TOPIC': 'Rebels advance'}]"
86,(accuses/Pd.soxx.|f--3s-/en ukraine/Cp.s/en russia/Cp.s/en (of/T/en (reducing/P.o.|pg----/en (+/B.am/. coal/Cc.s/en deliveries/Cc.p/en))) (as/T/en (rise/Pd.s.|f-----/en tensions/Cc.p/en))),Ukraine accuses Russia of reducing coal deliveries as tensions rise,"[{'PRED': ['accuses/Pd.soxx.|f--3s-/en'], 'SOURCE': ['ukraine/Cp.s/en'], 'TARGET': ['russia/Cp.s/en'], 'TOPIC': [['rise/Pd.s.|f-----/en'], ['tensions/Cc.p/en']]}]","[{'PRED': 'accuses', 'SOURCE': 'Ukraine', 'TARGET': 'Russia', 'TOPIC': 'tensions rise'}]"
87,(accuses/Pd.soxx.|f--3s-/en ukraine/Cp.s/en russia/Cp.s/en (of/T/en (undisguised/Ma/en aggression/Cc.s/en)) (as/T/en (advance/Pd.s.|f-----/en rebels/Cc.p/en))),"Ukraine accuses Russia of ""undisguised aggression"" as rebels advance","[{'PRED': ['accuses/Pd.soxx.|f--3s-/en'], 'SOURCE': ['ukraine/Cp.s/en'], 'TARGET': ['russia/Cp.s/en'], 'TOPIC': [['advance/Pd.s.|f-----/en'], ['rebels/Cc.p/en']]}]","[{'PRED': 'accuses', 'SOURCE': 'Ukraine', 'TARGET': 'Russia', 'TOPIC': 'Rebels advance'}]"
88,(accuses/Pd.soxxr.|f--3s-/en taiwan/Cp.s/en china/Cp.s/en (of/T/en (extrajudicial/Ma/en abduction/Cc.s/en)) (after/T/en (acquitted/Pd.sxx.<pf----/en (eight/M#/en taiwanese/Cp.p/en) (of/T/en fraud/Cc.s/en) (in/T/en kenya/Cp.s/en))) (were/Tv.<f-----/en ((forcibly/M/en deported/P.x.<pf----/en) (to/T/en china/Cp.s/en)))),"Taiwan accuses China of ""extrajudicial abduction"" after eight Taiwanese acquitted of fraud in Kenya were forcibly deported to China","[{'PRED': ['accuses/Pd.soxxr.|f--3s-/en'], 'SOURCE': ['taiwan/Cp.s/en'], 'TARGET': ['china/Cp.s/en'], 'TOPIC': [['acquitted/Pd.sxx.<pf----/en'], [['eight/M#/en'], ['taiwanese/Cp.p/en']], [['of/T/en'], ['fraud/Cc.s/en']], [['in/T/en'], ['kenya/Cp.s/en']]]}]","[{'PRED': 'accuses', 'SOURCE': 'Taiwan', 'TARGET': 'China', 'TOPIC': 'eight Taiwanese acquitted of fraud in Kenya'}]"
89,(accuses/Pd.sro.|f--3s-/en venezuela/Cp.s/en (detained/P.o.<f-----/en (of/Jr.ma/en muslims/Cp.p/en ((to/Mi/en overthrow/P.o.-i-----/en) planning/C/en))) govt/Cc.p/en),Venezuela accuses detained Muslims of planning to overthrow govt,"[{'PRED': ['accuses/Pd.sro.|f--3s-/en'], 'SOURCE': ['venezuela/Cp.s/en'], 'TARGET': ['govt/Cc.p/en']}]","[{'PRED': 'accuses', 'SOURCE': 'Venezuela', 'TARGET': 'govt'}]"
90,(arrests/Pd.so.|f--3s-/en china/Cp.s/en christians/Cp.p/en),China arrests Christians,"[{'PRED': ['arrests/Pd.so.|f--3s-/en'], 'SOURCE': ['china/Cp.s/en'], 'TARGET': ['christians/Cp.p/en']}]","[{'PRED': 'arrests', 'SOURCE': 'China', 'TARGET': 'Christians'}]"
91,(arrests/Pd.so.|f--3s-/en greece/Cp.s/en russian/Cp.s/en),Greece arrests Russian,"[{'PRED': ['arrests/Pd.so.|f--3s-/en'], 'SOURCE': ['greece/Cp.s/en'], 'TARGET': ['russian/Cp.s/en']}]","[{'PRED': 'arrests', 'SOURCE': 'Greece', 'TARGET': 'Russian'}]"
