,edge,edge_text
84,(accuses/Pd.sox.|f--3s-/en un/Cp.s/en vatican/Cp.s/en (of/T/en (adopting/P.o?.|pg----/en policies/Cc.p/en (allowed/P.sr.<f-----/en that/C/en ((to/Mi/en rape/P.so.-i-----/en) priests/Cc.p/en children/Cc.p/en))))),UN accuses Vatican of adopting policies that allowed priests to rape children
85,(accuses/Pd.sox.|f--3s-/en vietnam/Cp.s/en china/Cp.s/en (of/T/en (attacking/P.o.|pg----/en (its/Mp/en fishermen/Cc.p/en)))),Vietnam Accuses China of Attacking Its Fishermen
86,(accuses/Pd.sox.|f--3s-/en vietnam/Cp.s/en china/Cp.s/en (of/T/en (firing/P.x.|pg----/en (on/T/en (+/B.am/. fishing/Cp.s/en boat/Cp.s/en))))),Vietnam Accuses China of Firing on Fishing Boat
87,(accuses/Pd.sox.|f--3s-/en vietnam/Cp.s/en china/Cp.s/en (of/T/en (ramming/P.o.|pg----/en (its/Mp/en ships/Cc.p/en)))),Vietnam accuses China of ramming its ships
88,(accuses/Pd.sox.|f--3s-/en vietnam/Cp.s/en china/Cp.s/en (of/T/en (threatening/P.o.|pg----/en (regional/Ma/en (+/B.am/. air/Cc.s/en safety/Cc.s/en))))),Vietnam accuses China of threatening regional air safety
89,(accuses/Pd.sox.|f--3s-/en yemen/Cp.s/en iran/Cp.s/en (of/T/en (pursuing/P.o.|pg----/en (its/Mp/en destruction/Cc.s/en)))),Yemen accuses Iran of pursuing its destruction
90,(accuses/Pd.sox?.|f--3s-/en kiev/Cp.s/en moscow/Cp.s/en (of/T/en ((to/Mi/en divide/P.o.-i-----/en) plot/Cc.s/en)) (destroy/P!.x.-i-----/en east/Cc.s/en)),"Kiev accuses Moscow of plot to divide, destroy east"
91,(accuses/Pd.sox?.|f--3s-/en ukraine/Cp.s/en russia/Cp.s/en (of/T/en (sending/P.x.|pg----/en (in/T/en tanks/Cc.p/en))) armor/Cc.s/en),"Ukraine accuses Russia of sending in tanks, armor"
92,(accuses/Pd.soxo?.|f--3s-/en qatar/Cp.s/en uae/Cp.s/en (of/T/en (supporting/P.o.|pg----/en 9%2f11/C#/en)) (as/Br.ma/en (+/B.am/. terror/Cp.s/en attacks/Cc.p/en) (+/B.am/. diplomatic/Cp.s/en crisis/Cp.s/en)) deepens/C/en),Qatar Accuses UAE of Supporting 9/11 Terror Attacks as Diplomatic Crisis Deepens
93,(accuses/Pd.soxr.|f--3s-/en india/Cp.s/en un/Cp.s/en (of/T/en (allowing/P.r.|pg----/en (escape/P.so.-i-----/en (+/B.am/. taliban/Cp.s/en leader/Cc.s/en) responsibility/Cc.s/en))) (remains/P.scx.|f--3s-/en (that/Jr.ma/en (the/Md/en fact/Cc.s/en) ((is/Mv.|f--3s-/en (not/Mn/en (yet/M/en designated/P.px.<pf----/en))) (+/B.mm/. (of/Br.ma/en (the/Md/en leader/Cc.s/en) taliban/Cp.s/en) (a/Md/en (proscribed/Mv.<pf----/en entity/Cc.s/en))) (as/T/en (a/Md/en (terrorist/Ma/en individual/Cc.s/en))))) (a/Md/en mystery/Cc.s/en) (to/T/en us/Ci/en))),India accuses UN of allowing Taliban leader escape responsibility: “The fact that the leader of Taliban a proscribed entity — is not yet designated as a terrorist individual remains a mystery to us
94,(accuses/Pd.soxr.|f--3s-/en ukraine/Cp.s/en russia/Cp.s/en (of/T/en (orchestrating/P.o.|pg----/en (separatist/Ma/en moves/Cc.p/en))) (but/J/en (detained/P.so.<f-----/en police/Cc.p/en (70/M#/en people/Cc.p/en)) ((overnight/M/en occupying/P.o.|pg----/en) (in/Br.ma/en (a/Md/en (regional/Ma/en (+/B.am/. administration/Cc.s/en building/Cc.s/en))) (eastern/Ma/en ukraine/Cp.s/en))))),"Ukraine accuses Russia of orchestrating separatist moves: ""Police detained 70 people occupying a regional administration building in eastern Ukraine overnight, but"
95,(accuses/Pd.soxx.|f--3s-/en britain/Cp.s/en spain/Cp.s/en (of/T/en (violating/P.o.|pg----/en (+/B.am/. gibraltar/Cp.s/en sovereignty/Cc.s/en))) (after/T/en (chase/Pd.s.|f-----/en drugs/Cc.p/en))),Britain accuses Spain of violating Gibraltar sovereignty after drugs chase
96,(accuses/Pd.soxx.|f--3s-/en iran/Cp.s/en saudi/Cp.s/en (of/T/en (promoting/P.o.|pg----/en poverty/Cc.s/en)) terrorism/Cc.s/en),"Iran accuses Saudi of promoting poverty, terrorism"
97,(accuses/Pd.soxx.|f--3s-/en kerry/Cp.s/en syria/Cp.s/en (of/T/en (using/P.o.|pg----/en (chemical/Ma/en agents/Cc.p/en))) (preparing/Pd.sr.|pg----/en us/Cp.s/en ((to/Mi/en release/P.o.-i-----/en) evidence/Cc.s/en))),Kerry accuses Syria of using chemical agents; US preparing to release evidence
98,(accuses/Pd.soxx.|f--3s-/en obama/Cp.s/en eu/Cp.s/en (of/T/en (attacking/P.o.|pg----/en (american/Ma/en (+/B.am/. tech/Cc.s/en companies/Cc.p/en)))) (because/T/en (('/Mv.|f-----/en (ca/Mm/en (n't/Mn/en compete/Pd.s.-i-----/en))) it/Ci/en))),Obama accuses EU of attacking American tech companies because it 'ca n't compete
99,(accuses/Pd.soxx.|f--3s-/en qatar/Cp.s/en uae/Cp.s/en (of/Tt/en (supporting/P.o.|pg----/en (in/Br.ma/en (9%2f11/M#/en attacks/Cc.p/en) (+/B.am/. new/Cp.s/en york/Cp.s/en)))) (as/T/en (deepens/Pd.s.|f--3s-/en (+/B.am/. gulf/Cp.s/en crisis/Cc.s/en)))),Qatar accuses UAE of supporting 9/11 attacks in New York as Gulf crisis deepens
100,(accuses/Pd.soxx.|f--3s-/en ukraine/Cp.s/en russia/Cp.s/en (of/T/en (reducing/P.o.|pg----/en (+/B.am/. coal/Cc.s/en deliveries/Cc.p/en))) (as/T/en (rise/Pd.s.|f-----/en tensions/Cc.p/en))),Ukraine accuses Russia of reducing coal deliveries as tensions rise
101,(accuses/Pd.soxx.|f--3s-/en ukraine/Cp.s/en russia/Cp.s/en (of/T/en (violating/P.o.|pg----/en (its/Mp/en airspace/Cc.s/en))) (allowing/Pd.ox.|pg----/en (across/Br.ma/en weapons/Cc.p/en border/Cc.s/en) (as/T/en (escalates/Pd.s.|f--3s-/en crisis/Cc.s/en)))),"Ukraine accuses Russia of violating its airspace, allowing weapons across border as crisis escalates"
102,(accuses/Pd.soxx.|f--3s-/en un/Cp.s/en vatican/Cp.s/en (of/T/en (adopting/P.o.|pg----/en policies/Cp.p/en)) (allowed/Pd.sr.<f-----/en that/C/en ((to/Mi/en rape/P.so.-i-----/en) priests/Cc.p/en children/Cp.s/en))),UN Accuses Vatican of Adopting Policies That Allowed Priests to Rape Children
103,(arrests/Pd.sox.|f--3s-/en ukraine/Ca/en frenchman/Cp.s/en (for/Tt/en (plotting/P.o.|pg----/en (+/B.am/. (2016/M#/en euro/Cm/en) attacks/Cc.p/en)))),Ukraine arrests Frenchman for plotting Euro 2016 attacks
104,(arrests/Pd.sox.|f--3s-/en ukraine/Ca/en frenchman/Cp.s/en (for/Tt/en (plotting/P.o.|pg----/en (on/Br.ma/en attacks/Cc.p/en (2016/M#/en euro/Cp.s/en))))),Ukraine arrests Frenchman for plotting attacks on Euro 2016
105,(arrests/Pd.soxo.|f--3s-/en japan/Cp.s/en (+/B.am/. (+/B.am/. mtgox/Cp.s/en bitcoin/Cp.s/en) head/Cc.s/en) (over/T/en (missing/P.o.|pg----/en ($/M/en 387/C#/en))) m/C#/en),Japan arrests MtGox Bitcoin head over missing $387m
106,(condemns/Pd.sox.|f--3s-/en canada/Cp.s/en abbas/Cp.s/en (for/T/en (accusing/P.o.|pg----/en (of/Br.ma/en rabbis/Cc.p/en (+/B.am/. poisoning/Cc.s/en water/Cc.s/en))))),Canada condemns Abbas for accusing rabbis of poisoning water
107,(condemns/Pd.sox.|f--3s-/en un/Cp.s/en australia/Cp.s/en (for/T/en (expelling/P.ox.|pg----/en (+/B.am/. sheikh/Cp.s/en (+/B.am/. mansour/Cp.s/en leghaei/Cp.s/en)) (to/T/en iran/Cp.s/en)))),UN condemns Australia for expelling Sheikh Mansour Leghaei to Iran
108,(condemns/Pd.sox.|f--3s-/en un/Cp.s/en israel/Cp.s/en (for/T/en (violating/P.o.|pg----/en (of/Br.ma/en health/Cp.s/en syrians/Cp.p/en)))),UN Condemns Israel for 'Violating Health of Syrians
109,(condemns/Pd.soxx.|f--3s-/en hamas/Cp.s/en egypt/Cp.s/en (for/T/en (flooding/P.o.|pg----/en (+/B.am/. gaza/Cp.s/en tunnel/Cc.s/en))) (leaving/Pd.oo.|pg----/en (4/M#/en palestinians/Cp.p/en) dead/Ca/en)),"Hamas condemns Egypt for flooding Gaza tunnel, leaving 4 Palestinians dead"
110,(slam/Pd.soxx.|f-----/en palestinians/Cp.p/en obama/Cp.s/en (for/T/en (causing/P.r.|pg----/en (+/B.mm/. syria/Cp.s/en bloodshed/Cc.s/en))) (prompting/Pd.ox.|pg----/en despair/Cc.s/en ((even/M/en from/T/en) supporters/Cc.p/en))),"Palestinians slam Obama for causing Syria bloodshed, prompting despair even from supporters"
111,(slams/P.sox.|f--3s-/en un/Cp.s/en vatican/Cp.s/en (for/T/en ((up/Ml/en (to/Mi/en cover/P.o.-i-----/en)) efforts/Cc.p/en))),UN slams Vatican for 'efforts to cover up
112,(slams/Pd.sox.|f--3s-/en hezbollah/Cp.s/en hamas/Cp.s/en (for/T/en (accepting/P.ox.|pg----/en (palestinian/Ma/en state/Cc.s/en) (in/T/en (67/M#/en lines/Cc.p/en))))),Hezbollah slams Hamas for accepting Palestinian state in 67 lines
113,(slams/Pd.sox.|f--3s-/en russia/Cp.s/en germany/Cp.s/en (for/T/en (halting/P.o.|pg----/en (+/B.am/. arms/Cc.p/en deal/Cc.s/en)))),Russia slams Germany for halting arms deal
114,(warned/Pd.xsoxx.<f-----/en (in/T/en (an/Md/en (ominous/Ma/en turn/Cc.s/en))) syria/Cp.s/en lebanon/Cp.s/en today/Cc.s/en (against/T/en (continuing/P.r.|pg----/en ((to/Mi/en provide/P.o.-i-----/en) (+/B.mm/. refuge/Cc.s/en (for/Jr.ma/en rebels/Cc.p/en (battling/P.o.|pg----/en (the/Md/en (+/B.am/. assad/Cp.s/en regime/Cc.s/en))))))))),"In an ominous turn, Syria warned Lebanon today against continuing to provide refuge for rebels battling the Assad regime"
115,(warns/Pd.rsox.|f--3s-/en report/Cc.s/en israel/Cp.s/en lebanon/Cp.s/en (against/T/en (responding/P.x.|pg----/en (to/T/en (alleged/Mv.<pf----/en attack/Cc.s/en))))),Report: Israel warns Lebanon against responding to alleged attack
116,(warns/Pd.sox.|f--3s-/en carter/Cp.s/en china/Cp.s/en (against/T/en (building/P.o.|pg----/en (of/Br.ma/en (+/B.am/. great/Cp.s/en wall/Cp.s/en) (+/B.am/. self/Cc.s/en isolation/Cc.s/en))))),Carter warns China against building 'Great Wall of self-isolation
117,(warns/Pd.sox.|f--3s-/en china/Cp.s/en india/Cp.s/en (against/T/en (deploying/P.o.|pg----/en (in/Br.ma/en (+/B.am/. brahmos/Cp.s/en (+/B.am/. cruise/Cc.s/en missile/Cc.s/en)) arunachal/Cp.s/en)))),China warns India against deploying BrahMos cruise missile in Arunachal
118,(warns/Pd.sox.|f--3s-/en china/Cp.s/en japan/Cp.s/en (over/T/en ((abroad/M/en expanding/P.o.|pg----/en) (military/Ma/en role/Cc.s/en)))),China warns Japan over expanding military role abroad
119,(warns/Pd.sox.|f--3s-/en china/Cp.s/en soros/Cp.s/en (against/T/en (declaring/P.ox.|pg----/en war/Cc.s/en (on/T/en (its/Mp/en currency/Cc.s/en))))),China warns Soros against ‘declaring war on its currency
120,(warns/Pd.sox.|f--3s-/en france/Cp.s/en russia/Cp.s/en (against/T/en (meddling/P.x.|pg----/en (in/T/en election/Cc.s/en)))),France warns Russia against meddling in election
121,(warns/Pd.sox.|f--3s-/en germany/Cp.s/en uk/Cp.s/en (over/T/en (leaving/P.o.|pg----/en eu/Cp.s/en))),Germany warns UK over leaving EU
122,(warns/Pd.sox.|f--3s-/en iran/Cp.s/en bahrain/Cp.s/en (over/T/en (revoking/P.o.|pg----/en ('s/Bp.am/en (+/B.am/. shia/Cp.s/en cleric/Cc.s/en) citizenship/Cc.s/en)))),Iran warns Bahrain over revoking Shia cleric's citizenship
123,(warns/Pd.sox.|f--3s-/en israel/Cp.s/en arabs/Cp.p/en (against/T/en (bashing/P.ox.|pg----/en it/Ci/en (at/T/en (+/B.am/. u%2en%2e/Cm/en (nuclear/Ma/en meeting/Cc.s/en)))))),Israel warns Arabs against 'bashing' it at U.N. nuclear meeting
124,(warns/Pd.sox.|f--3s-/en kremlin/Cp.s/en ukraine/Cp.s/en (against/T/en (joining/P.o.|pg----/en nato/Cp.s/en))),Kremlin warns Ukraine against joining NATO
125,(warns/Pd.sox.|f--3s-/en obama/Cp.s/en china/Cp.s/en (against/T/en (throwing/P.ox.|pg----/en elbows/Cc.p/en (in/T/en (+/B.am/. sea/Cc.s/en dispute/Cc.s/en))))),Obama warns China against 'throwing elbows' in sea dispute
126,(warns/Pd.sox.|f--3s-/en putin/Cp.s/en kiev/Cp.s/en (against/T/en (defaulting/P.x.|pg----/en (on/T/en (+/B.am/. gas/Cc.s/en debts/Cc.p/en))))),Putin warns Kiev against defaulting on gas debts
127,(warns/Pd.sox.|f--3s-/en putin/Cp.s/en ukraine/Cp.s/en (against/T/en (implementing/P.o.|pg----/en (+/B.am/. eu/Cp.s/en deal/Cc.s/en)))),Putin warns Ukraine against implementing EU deal
128,(warns/Pd.sox.|f--3s-/en russia/Cp.s/en finland/Cp.s/en (against/T/en (joining/P.o.|pg----/en nato/Cp.s/en))),Russia warns Finland against joining NATO
129,(warns/Pd.sox.|f--3s-/en russia/Cp.s/en uk/Cp.s/en (against/T/en (arming/P.o.|pg----/en (syrian/Ma/en rebels/Cc.p/en)))),Russia warns UK against arming Syrian rebels
130,(warns/Pd.sox.|f--3s-/en xi/Cp.s/en obama/Cp.s/en (against/T/en (threatening/P.o.|pg----/en (%26/J/en (’s/Bp.am/en china/Cp.s/en sovereignty/Cc.s/en) (national/Ma/en interests/Cc.p/en))))),Xi warns Obama against threatening China’s sovereignty & national interests
131,(warns/Pd.sox?.|f--3s-/en putin/Cp.s/en ukraine/Cp.s/en (against/T/en (implementing/P.o.|pg----/en (+/B.am/. eu/Cp.s/en deal/Cc.s/en))) -letter/C/en),Putin warns Ukraine against implementing EU deal -letter
